point_index,l_str_1,l_str_2,l_str_3,l_str_4,q_1,q_2,q_3,q_4,q_5,q_6,W_out_1,W_out_2,W_out_3,W_out_4,W_out_5,W_out_6,As_1_1,As_1_2,As_1_3,As_1_4,As_1_5,As_1_6,As_2_1,As_2_2,As_2_3,As_2_4,As_2_5,As_2_6,As_3_1,As_3_2,As_3_3,As_3_4,As_3_5,As_3_6,As_4_1,As_4_2,As_4_3,As_4_4,As_4_5,As_4_6,As_5_1,As_5_2,As_5_3,As_5_4,As_5_5,As_5_6,Keff_1_1,Keff_1_2,Keff_1_3,Keff_1_4,Keff_1_5,Keff_1_6,Keff_2_1,Keff_2_2,Keff_2_3,Keff_2_4,Keff_2_5,Keff_2_6,Keff_3_1,Keff_3_2,Keff_3_3,Keff_3_4,Keff_3_5,Keff_3_6,Keff_4_1,Keff_4_2,Keff_4_3,Keff_4_4,Keff_4_5,Keff_4_6,Keff_5_1,Keff_5_2,Keff_5_3,Keff_5_4,Keff_5_5,Keff_5_6,Keff_6_1,Keff_6_2,Keff_6_3,Keff_6_4,Keff_6_5,Keff_6_6
0,0.284569092692343,0.280288958943894,0.256374636625264,0.256563272976995,0.156179702416904,0.04,0.01,0.261799387799149,0.0523598775598299,0,106.402540877222,-110.757465961076,-138.035237745972,-1.74119421365586,-22.8312285196861,21.7971638644332,-0.258334087898419,-0.0418299904656292,0.108282900842183,-0.00162196110104241,0.0118467651051618,0.00398459238257291,-0.541026579151265,-0.393893839404217,0.10988285205605,0.0110649929123207,0.0196356828661326,0.124867798026862,-0.520382673222008,0.0943122942605025,-0.37140518303466,-0.00125466248817536,-0.123671365297543,-0.029646397193451,-0.483233997243417,0.281214889513533,0.0420615200877979,-0.0029718393847947,0.00742159492850884,-0.0837619947058603,-0.477936316361226,0.0806710267521557,0.334951209142722,0.00302947082496968,0.0913496992703168,-0.0176783356662081,1951.99433122324,-57.0113433519925,89.2310855091848,2.09620927945847,61.3823242549256,31.5355512882498,-57.0113433519925,3166.87785787127,-11.3092943349257,-9.98220601920844,1.79484542791884,-605.417803308776,89.2310855091848,-11.3092943349257,6865.45082445821,29.4807247474884,1199.04945329258,-5.12497092896422,2.09620927945847,-9.98220601920844,29.4807247474884,1.61690122899497,4.88986780084014,3.56124276866236,61.3823242549256,1.79484542791884,1199.04945329258,4.88986780084014,259.593769335048,0.734492205763202,31.5355512882498,-605.417803308776,-5.12497092896422,3.56124276866236,0.734492205763206,136.967932698103
1,0.284569092692343,0.280288958943894,0.256374636625264,0.256563272976995,0.156179702416904,0.04,0.01,0.261799387799149,0.0523598775598299,0,106.402540877222,-110.757465961076,-138.035237745972,-1.74119421365586,-22.8312285196861,21.7971638644332,-0.261817373430672,-0.086192237050343,0.121163319107197,-0.000861415643916947,0.0131604336252022,0.00889080793250847,-0.541026579202758,-0.393893839470697,0.109882852072509,0.0110649929141378,0.0196356828697046,0.124867798046976,-0.520382673222033,0.0943122942605125,-0.3714051830347,-0.00125466248817548,-0.123671365297555,-0.029646397193454,-0.483233997243417,0.281214889513533,0.0420615200877979,-0.0029718393847947,0.00742159492850884,-0.0837619947058603,-0.477936316361226,0.0806710267521557,0.334951209142722,0.00302947082496968,0.0913496992703168,-0.0176783356662081,1959.428423315,61.4607354536862,60.6979860166166,0.151533030208313,58.4628641897254,18.4733024514725,61.4607354536862,2784.38104868543,79.3046164199909,-3.63076953931146,13.6407662277068,-567.661435294377,60.6979860166165,79.304616419991,6951.04923924007,29.5759791948033,1207.60059857632,-14.3812394951656,0.151533030208313,-3.63076953931146,29.5759791948033,1.55322649030703,4.86782229585699,2.9354171562289,58.4628641897254,13.6407662277068,1207.60059857632,4.86782229585699,260.447097363454,-0.49131763267941,18.4733024514725,-567.661435294377,-14.3812394951656,2.9354171562289,-0.491317632679411,133.28640918424
2,0.26472069400414,0.256858532143681,0.273305668353939,0.285002679991065,0.142174472944191,-0.04,-0.04,-0.0523598775598299,0,-0.0698131700797732,122.362223967657,64.8753347832847,208.536602279131,2.58985463959317,38.0358183400125,-14.4085854424023,-0.0380518651955037,0.0822040072060041,-0.119481980665567,9.00175146377498e-05,-0.0223305194366274,-0.00650667316454601,-0.497980373575946,-0.279536789944286,-0.0719538230608109,-0.00348644807077469,-0.0182244006871801,0.0949299549200813,-0.492481118892132,-0.00910137966879897,-0.296497204187853,-0.00547227109275578,-0.088240413665377,0.0117980866198172,-0.528672287915851,0.397542206157132,-0.114626624840934,0.00014928526200185,-0.0321431316384463,-0.112165689805518,-0.569363093298603,-0.062917409754947,0.372033861445007,0.00533996153849571,0.120020887522914,0.0284699364137066,1453.78719053569,15.3986072639988,230.633093305615,-1.27589584307355,30.5863363646213,-58.743741968743,15.3986072639988,2488.93508227102,-491.586859198722,-27.041613374691,-46.8403379414084,-513.487426756485,230.633093305615,-491.586859198722,6701.87861568625,56.112538678357,1138.87093446535,50.958243440546,-1.27589584307355,-27.041613374691,56.112538678357,1.69710089651557,13.4810758276995,3.73818780123281,30.5863363646213,-46.8403379414084,1138.87093446535,13.4810758276995,239.781915667155,5.32935404801653,-58.7437419687429,-513.487426756485,50.958243440546,3.73818780123281,5.32935404801653,122.903115619344
3,0.263240467024788,0.256719853880363,0.27432676920196,0.2846400376318,0.142174472944191,-0.04,-0.04,-0.0523598775598299,0,-0.0610865238198015,122.635055612667,69.2857925805435,208.960740846957,2.23962436681026,38.1080988755986,-15.1147622378304,-0.0392289148525124,0.0799833383890804,-0.116435779661495,0.000294906570197095,-0.0219729634667995,-0.00627730682552645,-0.496781261696057,-0.280188503151046,-0.0705612889165054,-0.0032588786299384,-0.0177824092372427,0.0935552137080267,-0.492830128129464,-0.0153409606410727,-0.295711889916142,-0.00463769582774781,-0.0880537639839449,0.0122971908827259,-0.532398463727939,0.394192632695558,-0.116219489050546,0.000433975578178201,-0.0326963726067246,-0.112887410155892,-0.568536434066424,-0.0721486416231278,0.371126479513026,0.00416309247081392,0.11966399585303,0.0296407427313494,1456.06133621737,18.6646989966675,226.4264900382,-1.25640982643377,30.164680742069,-56.4363218790967,18.6646989966675,2519.54982226766,-503.418048848506,-26.2306537218253,-48.5020331869585,-517.909835159579,226.4264900382,-503.418048848506,6690.43967863296,45.2125723684469,1137.95374289182,52.5385030040367,-1.25640982643377,-26.2306537218253,45.2125723684469,1.48225448209561,11.243104426004,3.6435700917088,30.164680742069,-48.5020331869585,1137.95374289182,11.243104426004,239.645684651157,5.61944690231661,-56.4363218790967,-517.909835159579,52.5385030040367,3.6435700917088,5.61944690231661,123.430877796648
4,0.261754894925265,0.25657558836811,0.275341014161171,0.284262504791756,0.142174472944191,-0.04,-0.04,-0.0523598775598299,0,-0.0523598775598299,122.869539761755,73.7157063833952,209.395796714715,1.88835364801608,38.1779641289459,-15.8216458098394,-0.0405042897734757,0.0775950888439873,-0.11329463449555,0.000491242707156929,-0.0216010188255726,-0.00603108411682506,-0.49560258945661,-0.280939554051341,-0.0692189015113,-0.00304155676033127,-0.0173546679697734,0.0922149289741998,-0.493121180296127,-0.0215667883064572,-0.294895419854364,-0.00380677493922102,-0.0878502134129739,0.0127904607957894,-0.53614276739004,0.390763008380872,-0.117841344321012,0.000728568879064886,-0.0332575491723951,-0.113597116344582,-0.567572996047493,-0.0813292485802849,0.370179495296372,0.00299309246899999,0.119279166481969,0.0307950158941461,1458.43285943692,21.8240308071901,222.245849263186,-1.23042152333822,29.7560720494394,-54.0884838129897,21.8240308071901,2550.97796674602,-514.997925407408,-25.3798525678296,-50.1355496196247,-522.395778990498,222.245849263186,-514.997925407408,6678.64700795942,34.3455702576209,1136.86428563693,54.0793603448113,-1.23042152333823,-25.3798525678296,34.3455702576209,1.30989131539187,9.00871117294067,3.54287846921946,29.7560720494394,-50.1355496196247,1136.86428563693,9.00871117294067,239.446043917283,5.90398211240626,-54.0884838129897,-522.395778990498,54.0793603448113,3.54287846921946,5.90398211240626,123.964948184364
5,0.260263047853076,0.2564258143815,0.27635001604005,0.283869817770638,0.142174472944191,-0.04,-0.04,-0.0523598775598299,0,-0.0436332312998582,123.065054635111,78.1645145368637,209.842032581926,1.53605053818531,38.2455469915021,-16.5290091829661,-0.0418759894411523,0.0750369785237374,-0.11006305624226,0.000678640614940067,-0.0212152920657673,-0.00576816205861648,-0.494438810025094,-0.281788643646343,-0.0679247950615317,-0.00283398783100929,-0.0169405957144132,0.090907908579211,-0.493354583282508,-0.0277777976987767,-0.294048572585347,-0.00297984696833096,-0.0876300586737407,0.0132777083974603,-0.539908312225981,0.387243202973573,-0.119490374345203,0.00103329445905316,-0.0338262773262417,-0.114292722897091,-0.566473759622578,-0.0904561816124998,0.369194526692141,0.00183055131827262,0.11886693978894,0.0319322414834851,1460.8999623762,24.8593042981923,218.093745790424,-1.19848969744412,29.3608313937121,-51.6971634825049,24.8593042981923,2583.18575048287,-526.316473510637,-24.490362635969,-51.7387940312656,-526.939545579527,218.093745790424,-526.316473510637,6666.51023049972,23.5146697797821,1135.60384070405,55.5793144820749,-1.19848969744412,-24.490362635969,23.5146697797821,1.17983739696111,6.77930459141686,3.43633455145095,29.3608313937121,-51.7387940312656,1135.60384070405,6.77930459141686,239.183231516646,6.18263575679038,-51.6971634825049,-526.939545579527,55.5793144820749,3.43633455145095,6.18263575679037,124.504332324445
6,0.258766050001702,0.256270643079211,0.277352935115565,0.283462521456951,0.142174472944191,-0.04,-0.04,-0.0523598775598299,0,-0.0349065850398866,123.221909016607,82.6324923534693,210.298920362331,1.18271967361455,38.3107073485685,-17.2369704947464,-0.043341881784695,0.0723071774684776,-0.106745653792019,0.000856740066995255,-0.0208164103610791,-0.00548874841232962,-0.493288698364721,-0.282733893128142,-0.0666771188844006,-0.00263570621841295,-0.0165397505320156,0.0896336291824388,-0.493530719373449,-0.0339729550811392,-0.293172144618398,-0.00215724107118416,-0.0873936178613998,0.0137587566409402,-0.543692864719898,0.383630248151845,-0.121167176380711,0.00134840886280023,-0.034402539202796,-0.114973174625117,-0.565241313023562,-0.0995255207496631,0.36817035919742,0.000676050306498596,0.118427401831339,0.0330517655678081,1463.46266448146,27.7508310338968,213.976159863039,-1.16118997265007,28.9798732485244,-49.259196926075,27.7508310338968,2616.14148658818,-537.364459208417,-23.563260907662,-53.3097365869032,-531.536823791571,213.976159863039,-537.364459208417,6654.03962305479,12.7231211356796,1134.17453444548,57.0369566503546,-1.16118997265007,-23.563260907662,12.7231211356796,1.09188643828557,4.55634424580587,3.32411878049622,28.9798732485244,-53.3097365869032,1134.17453444548,4.55634424580587,238.857937258955,6.45508005949268,-49.2591969260751,-531.536823791571,57.0369566503546,3.32411878049623,6.45508005949268,125.048612619452
7,0.257263062691747,0.256109673038212,0.278349089683378,0.283039807411296,0.142174472944191,-0.04,-0.04,-0.0523598775598299,0,-0.0261799387799149,123.337636585427,87.1192749943875,210.766783505122,0.828364867661718,38.373559682424,-17.9453630998305,-0.0448997110635554,0.0694043158958613,-0.103347122457993,0.00102520666830236,-0.0204050198030513,-0.0051931020811758,-0.492147235328493,-0.28377370826672,-0.0654741379257043,-0.00244626580622299,-0.016151591194314,0.0883909290657162,-0.493649054375303,-0.040151295398901,-0.292266995468168,-0.00133927156872244,-0.0871410576245911,0.0142334117571009,-0.547494381532359,0.379920711461434,-0.122872209885752,0.00167416897704713,-0.0349862891518146,-0.115637327495234,-0.563875766735984,-0.108535039706293,0.367110562505561,-0.00046985424115328,0.117961444971184,0.0341532278660185,1466.11705574704,30.4806231626129,209.893868418053,-1.11911392259609,28.6130326334775,-46.7714964234177,30.4806231626128,2649.80179036967,-548.133276841621,-22.5999006147799,-54.8465653069554,-536.178800602488,209.893868418053,-548.133276841621,6641.24281131537,1.9739224999831,1132.57571866259,58.4511238348017,-1.11911392259609,-22.5999006147799,1.9739224999831,1.04577972282812,2.34120099310477,3.20648768934852,28.6130326334775,-54.8465653069554,1132.57571866259,2.34120099310477,238.469531666563,6.72105455129773,-46.7714964234177,-536.178800602488,58.4511238348017,3.20648768934852,6.72105455129773,125.595750997972
8,0.255952470492057,0.255952470492057,0.279336786691341,0.282606247625226,0.142174472944191,-0.04,-0.04,-0.0523598775598299,0,-0.0174532925199433,123.467328645192,91.6503081144416,211.252455629991,0.473242504975585,38.4380385476675,-18.6673488639969,-0.0465471060604783,0.0663274928342002,-0.099872232645583,0.00118373251052791,-0.0199817836766056,-0.0048815333287855,-0.491386052411544,-0.284895939841197,-0.0643133437982962,-0.00226542994700897,-0.0157877010337085,0.087245543012094,-0.493727095561727,-0.0463113863080537,-0.291333163490704,-0.000526305303821971,-0.0868756949342378,0.0147020167789842,-0.551308621964597,0.376114547443514,-0.124607115837971,0.00201085494148064,-0.03557767444894,-0.116284551598607,-0.562387664076107,-0.117476006641296,0.36600005890348,-0.00160650586888586,0.117466930581081,0.0352351496138677,1468.96868864265,33.0186033818078,205.865369675927,-1.07291414171478,28.26916837108,-44.2452856870071,33.0186033818078,2684.00670258027,-558.689074484203,-21.6035563558875,-56.3568612785109,-540.901905876734,205.865369675927,-558.689074484203,6628.2091890263,-8.72543535637686,1130.87682788647,59.8301189633762,-1.07291414171478,-21.6035563558875,-8.72543535637686,1.04139190892371,0.137330603423826,3.08395068024455,28.26916837108,-56.3568612785109,1130.87682788647,0.137330603423826,238.048361586786,6.98019450979743,-44.2452856870071,-540.901905876734,59.8301189633762,3.08395068024455,6.98019450979743,126.175407963938
9,0.255843270151645,0.255843270151645,0.280297573472907,0.282171058201885,0.142174472944191,-0.04,-0.04,-0.0523598775598299,0,-0.00872664625997165,123.868936402472,96.3565054853103,211.799742560479,0.118271718350087,38.5270833757819,-19.4700480602309,-0.0482815885423012,0.0630762832422529,-0.0963258186278767,0.00133203673460251,-0.0195473807209388,-0.00455440381025773,-0.492835932355075,-0.286071832445728,-0.0631886428397141,-0.00209286369700583,-0.0155071809033393,0.0865283038656315,-0.493844459168208,-0.0524513058310702,-0.290367839258271,0.000281300474140197,-0.0866117050618978,0.0151668943829532,-0.555097637797793,0.372269178914492,-0.126393452611498,0.00235914736802977,-0.0361802548646771,-0.116923389600137,-0.560796989917543,-0.126333687872577,0.364808328912132,-0.00273301525768532,0.116939308866002,0.0362949701721115,1472.50027796442,35.3112797271874,201.925758392196,-1.02363880618532,27.9819981448717,-41.7464158287339,35.3112797271874,2717.99289874865,-569.414065395581,-20.5867819827474,-57.889071995941,-545.8814332146,201.925758392196,-569.414065395581,6615.3084536715,-19.3549144600545,1129.39784699341,61.2235186641462,-1.02363880618532,-20.5867819827474,-19.3549144600545,1.0788721537519,-2.04566720849967,2.95877467993586,27.9819981448717,-57.889071995941,1129.39784699341,-2.04566720849967,237.734983287528,7.23232074332957,-41.7464158287339,-545.8814332146,61.2235186641462,2.95877467993586,7.23232074332957,126.929458204712
